Property Type Cleaned,Area Cleaned,ClubHouse Cleaned,School Cleaned,Hospital Cleaned,Mall Cleaned,Park Cleaned,Pool Cleaned,Gym Cleaned,Price by sub-area,Amenities score,Price by Amenities score,Noun_Counts,Verb_Counts,Adjective_Counts,bedroom apartment,boasts elegant,elegant towers,great community,mantra gold,offering bedroom,project boasts,project offers,stories offering,towers stories
2.0,727.0,0,0,0,0,1,1,0,46.408181818181816,2,81.48103448275862,14,3,5,0,0,0,0,0,0,0,1,0,0
3.0,923.0,0,0,0,0,1,1,0,46.408181818181816,2,81.48103448275862,6,5,4,0,0,0,0,0,0,0,0,0,0
2.0,731.5,1,0,0,0,1,1,1,64.9,4,98.58288659793813,12,5,6,0,0,0,0,0,0,0,0,0,0
3.0,1073.5,1,0,0,0,1,1,1,64.9,4,98.58288659793813,15,4,8,0,0,0,0,0,0,0,0,0,0
2.0,421.5,1,0,0,0,1,0,1,66.310625,3,69.04065217391305,13,3,12,0,0,0,0,0,0,0,0,0,0
2.0,546.0,1,0,0,0,1,0,1,66.310625,3,69.04065217391305,8,4,4,0,0,0,0,0,0,0,0,0,0
2.0,629.0,1,0,0,0,1,0,1,66.310625,3,69.04065217391305,14,4,2,0,0,0,0,0,0,0,0,0,0
1.0,421.5,1,0,0,0,1,0,1,69.45444444444445,3,69.04065217391305,13,7,7,0,0,0,0,0,0,0,0,0,0
1.0,494.0,1,0,0,0,1,0,1,69.45444444444445,3,69.04065217391305,19,8,6,0,0,0,0,0,0,0,0,0,0
2.0,780.0,1,0,0,0,1,0,1,69.45444444444445,3,69.04065217391305,7,3,3,0,0,0,0,0,0,0,0,0,0
2.0,850.0,1,0,0,0,1,0,1,69.45444444444445,3,69.04065217391305,14,5,5,0,0,0,0,0,0,0,0,0,0
2.0,900.0,1,0,0,0,1,0,1,69.45444444444445,3,69.04065217391305,12,4,6,0,0,0,0,0,0,0,0,0,0
2.0,930.0,1,0,0,0,1,0,1,69.45444444444445,3,69.04065217391305,13,2,5,0,0,0,0,0,0,0,0,0,0
3.0,1272.5,0,0,0,0,1,1,0,132.96499999999997,2,81.48103448275862,11,4,3,0,0,0,0,0,0,0,0,0,0
3.5,1662.9,0,0,0,0,1,1,0,132.96499999999997,2,81.48103448275862,12,5,4,0,0,0,0,0,0,0,0,0,0
4.5,1662.9,0,0,0,0,1,1,0,132.96499999999997,2,81.48103448275862,8,3,1,0,0,0,0,0,0,0,0,0,0
